,Domain,Company,Location,Start_Date,Duration,Stipend,Apply_by
165,Frontend Developement,Pushpak.ai,Hyderabad,Immediately,6 Months,"20,000 /month",30 Aug' 22
166,Network Engineering,Isourse,Delhi,Immediately,6 Months,"15,000 /month",30 Aug' 22
167,Product Development,Qrata,Mumbai,Immediately,6 Months,"10,000-20,000 /month",30 Aug' 22
168,Software Development,BMGI,Mumbai,Immediately,3 Months,"10,000 /month",30 Aug' 22
169,Media & Public Relations (PR),Purani Dili Talkies LLP,Delhi,Immediately,6 Months,"7,500 /month",30 Aug' 22
170,Business Development (Sales),IMS Proschool,Thane,Immediately,6 Months,"8,000 /month",30 Aug' 22
171,UI Design,AppyHigh Technology,Work From Home,Immediately,6 Months,"10,000-15,000 /month",30 Aug' 22
172,Key Account Management- Sales & Marketing,Open Secret,Mumbai,Immediately,6 Months,"15,000-25,000 /month",30 Aug' 22
173,Business Development (Sales),Realturity Business Advisory Private Limited,Ahmedabad,Immediately,3 Months,"8,000 /month +  Incentives",30 Aug' 22
174,Web Development,Gyizer,Work From Home,Immediately,4 Months,"8,000 /month",30 Aug' 22
175,PPT Integration (Graphic Designer),Turito,Work From Home,Immediately,6 Months,"20,000-25,000 /month",30 Aug' 22
176,Search Engine Optimization (SEO),NM Dev,Work From Home,Immediately,3 Months,"9,000 /month",30 Aug' 22
177,Frontend Development,Faclon,Mumbai,Immediately,3 Months,"20,000-30,000 /month",30 Aug' 22
178,3D Game Development,NM Dev,Work From Home,Immediately,4 Months,"15,000 /month",30 Aug' 22
179,Business Development (Sales),Awenest,Delhi,Immediately,3 Months,"10,000 /month +  Incentives",30 Aug' 22
180,Social Media Marketing,Ninjaz Academy,Delhi,Immediately,2 Months,"5,000 /month",30 Aug' 22
181,Psychology,ICHARS,Work From Home,Immediately,6 Weeks,Unpaid,30 Aug' 22
182,Data Extraction/Web Scrapping,DevelopKaro,Work From Home,Immediately,1 Month,"1,000 /month +  Incentives",30 Aug' 22
183,Content Writing,MyyTake,Delhi,Immediately,1 Month,"5,000 /month",30 Aug' 22
184,Graphic Design,ACTC Studio Private Limited,Chennai,Immediately,3 Months,"3,500 /month +  Incentives",30 Aug' 22
185,Business Development (Sales),Alippo,Work From Home,Immediately,6 Months,"10,000 /month +  Incentives",30 Aug' 22
186,Content Writing,Start Solar India,Delhi,Immediately,6 Months,"5,000-10,000 /month",30 Aug' 22
187,Anchoring/Acting,Purani Dili Talkies LLP,Delhi,Immediately,1 Month,"3,000 /month",30 Aug' 22
188,Social Media Marketing,ACTC Studio Private Limited,Chennai,Immediately,3 Months,"5,000 /month +  Incentives",30 Aug' 22
189,Content Writing,Polaris Ventures Private Limited,Gurgaon,Immediately,3 Months,"8,000-12,000 /month",30 Aug' 22
190,Business Development (Sales),Sahyog The Helping Hand,Work From Home,Immediately,1 Month,"1,000 lump sum +  Incentives",30 Aug' 22
191,Accounting,Mangalam Placement Private Limited,Mumbai,Immediately,6 Months,"12,000-15,000 /month",30 Aug' 22
192,Fundraising,Tare Zameen Foundation,Work From Home,Immediately,1 Month,"1,000 /month +  Incentives",30 Aug' 22
193,Video Editing,GoodGame Nation,Work From Home,Immediately,6 Months,"7,000-10,000 /month",30 Aug' 22
194,Digital Marketing,ORB 25,Coimbatore,Immediately,6 Months,"5,000-10,000 /month",30 Aug' 22
195,Content Writing,IDreamBiz,Noida,Immediately,4 Months,"7,000 /month",30 Aug' 22
196,Volunteering,Sachhi Saheli,Jaipur,21 Sep - 27 Sep' 22,1 Month,Unpaid,30 Aug' 22
197,Content Writing,DreamBox Inc.,Noida,Immediately,3 Months,"5,000-7,000 /month",30 Aug' 22
198,Marketing,Azista Industries Private Limited,Chennai,Immediately,6 Months,"5,000 /month",30 Aug' 22
199,Web Development,BluBrd LLC,Work From Home,Immediately,6 Months,"7,500 /month",30 Aug' 22
200,Business Development (Sales),HappyLocate Relocation Services Private Limited,Pune,Immediately,2 Months,"5,000 /month",30 Aug' 22
201,Content & Copywriting,GoodGame Nation,Work From Home,Immediately,6 Months,"7,000-10,000 /month",30 Aug' 22
202,Business Development (Sales),Hospertz India Private Limited,Mumbai,Immediately,6 Months,"14,000 /month",30 Aug' 22
203,Artist Management,Purani Dili Talkies LLP,Delhi,Immediately,6 Months,"7,500 /month",30 Aug' 22
204,Business Development (Sales),NATURELL INDIA PRIVATE LIMITED,Delhi,Immediately,3 Months,"15,000-25,000 /month",30 Aug' 22
205,Social Media Marketing,Purani Dili Talkies LLP,Delhi,Immediately,6 Months,"7,500 /month",30 Aug' 22
206,Assistance (Direction),Purani Dili Talkies LLP,Delhi,Immediately,6 Months,"7,500 /month",30 Aug' 22
207,Talent Acquisition,Intent Farm,Work From Home,Immediately,6 Months,"8,000 /month",30 Aug' 22
208,Marketing,TechEra Knowledge And Careers,Work From Home,Immediately,1 Month,"2,000-7,000 /month",30 Aug' 22
209,Public Relations,Purani Dili Talkies LLP,Delhi,Immediately,6 Months,"7,500 /month",30 Aug' 22
210,Human Resources (HR),OkayG,Mumbai,Immediately,4 Months,"4,000 /month",30 Aug' 22
211,Graphic Design,GoMechanic,Gurgaon,Immediately,3 Months,"10,000 /month",30 Aug' 22
212,Social Media Marketing,GradVisa Private Limited,Work From Home,Immediately,3 Months,"5,000 /month +  Incentives",30 Aug' 22
213,Strategic Partnership,Innovaccer Analytics Private Limited,Noida,Immediately,3 Months,"25,000 /month",30 Aug' 22
214,Social Media Management,GoodGame Nation,Work From Home,Immediately,6 Months,"7,000-10,000 /month",30 Aug' 22
215,Social Media Marketing,Prev.,Work From Home,Immediately,3 Months,"1,000 /month +  Incentives",30 Aug' 22
216,Marketing,Sozan,Work From Home,Immediately,1 Month,"5,000 /month",30 Aug' 22
217,Technical Support,Cubastion Consulting Private Limited,Work From Home,Immediately,6 Months,"20,000 /month",30 Aug' 22
218,Search Engine Optimization (SEO),Throttll,Jaipur,Immediately,2 Months,"5,000-8,000 /month",30 Aug' 22
219,Business Development (Sales),TechEra Knowledge And Careers,Work From Home,Immediately,1 Month,"2,000-6,000 /month",30 Aug' 22
220,Human Resources (HR),Globus,Hyderabad,Immediately,3 Months,"8,000 /month",30 Aug' 22
221,Business Development (Sales),Subhagruha Projects (India) Private Limited,Hyderabad,Immediately,6 Months,"12,000 /month",30 Aug' 22
222,Curriculum Development,PlanetSpark,Gurgaon,Immediately,3 Months,"5,000 /month",30 Aug' 22
223,Web Development,AI Creatives Web Solutions LLP,Mohali,Immediately,6 Months,"10,000 /month",30 Aug' 22
224,Sales And Marketing (US Process),PlanetSpark,Work From Home,Immediately,3 Months,"5,000 /month",30 Aug' 22
225,Content Writing,Jeff Goldberg Studio Private Limited,Mumbai,Immediately,3 Months,"3,000-5,000 /month",30 Aug' 22
226,Interior Design,Peekaboo Patterns,Chennai,Immediately,6 Months,"10,000 /month",30 Aug' 22
227,Botany & Environment Education,Concepts@Firstep,Chandigarh,Immediately,6 Months,"5,000-10,000 /month",30 Aug' 22
228,Human Resources (HR),Planet Spark,Work From Home,Immediately,3 Months,"5,000 /month",30 Aug' 22
229,Graphic Design,Macaws Media,Work From Home,Immediately,1 Month,"3,000 /month +  Incentives",30 Aug' 22
